Timestamp,Repetitions,Back-Thigh Angle
21:03:56,12,174.1108669420739
21:03:56,12,174.43119618230682
21:03:56,12,173.10684738914912
21:03:57,12,174.71917001235897
21:03:57,12,175.90162948268411
21:03:57,12,179.8232390493605
21:03:57,12,176.63004780931303
21:03:57,12,172.22290937117802
21:03:57,13,6.8296404996518545
21:03:58,14,57.19522123474992
21:03:58,14,178.27638797094252
21:03:58,14,178.1917473241182
21:03:58,14,178.32342374046277
21:03:58,14,177.99204321668591
21:03:58,14,178.6950643229054
21:03:58,14,175.0523628846199
21:03:59,14,175.4010521888903
21:03:59,14,173.58351339512132
21:03:59,14,175.1380665610391
21:03:59,14,175.33346520043952
21:03:59,14,176.422215349551
21:03:59,14,175.39644267861024
21:03:59,14,175.61638194424296
21:04:00,14,171.92731929459566
21:04:00,14,169.22134369457584
